subject,http://www.w3.org/2000/01/rdf-schema#label,http://purl.org/dc/terms/description,http://www.w3.org/2002/07/owl#disjointWith,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2002/07/owl#imports,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/license,http://purl.org/dc/terms/created,http://purl.org/dc/terms/publisher,http://purl.org/dc/terms/modified,http://www.w3.org/2002/07/owl#versionInfo,http://purl.org/dc/terms/title,http://purl.org/vocab/vann/preferredNamespacePrefix,http://www.w3.org/2002/07/owl#versionIRI
https://isotc211.geolexica.org/api/geolexica#RDF-XML,RDF/XML files,Class for RDF/XML file types.@en,https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,Linked Data APIs,Class of linked data file types.@en,,http://purl.org/dc/terms/MediaType,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#classification,geolexica:classification property,For relating term info classification.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#NoteUnavail,Note Not Translated to Language,Class for notes not translated to a language.@en,,https://isotc211.geolexica.org/api/geolexica#Note,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasNote,geolexica:hasNote,For relating concept to note.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#Note,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#Source,Source of Authority Documents,Class for referencing authoritative sources of term definitions.@en,,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
http://purl.org/dc/terms/license,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_decision,geolexica:review_decision property,For relating review decision values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#date_accepted,geolexica:date_accepted property,For relating date accepted info values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#date,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#SKOS-RDF,Turtle files (TTL),Class for TTL file types.@en,https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
http://purl.org/vocab/vann/preferredNamespaceUri,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_decision_notes,geolexica:review_decision_notes property,For relating review decision note values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#ExampleUnavail,Example Unavailable in Language,Class for noting missing examples.@en,,https://isotc211.geolexica.org/api/geolexica#Note,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#ConceptReview,Concept Review,"Review information for concepts: review date, decision, decision event, notes, and review status.@en",,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
http://purl.org/dc/terms/created,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasInfo,geolexica:hasLDAPI,For relating concept to concept info.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#ConceptInfo,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasLDAPI,geolexica:hasLDAPI,For relating concept to linked data api.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,TBX-ISO-XML files,Class for TBX-ISO-XML file types.@en,,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_date,geolexica:review_date property,For relating review date values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#date,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#jsonURI,geolexica:jsonURI property,For relating jsonURI values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://isotc211.geolexica.org/api/geolexica#JSON,,,,,,,,,,,,
http://purl.org/dc/terms/publisher,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#GeolexicaConceptScheme,Geolexica Concept Scheme,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,,Geolexica Concept Scheme@en,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#NoteSourceDiff,Translation Different from Normative Term,Class for notes with different translations than normative term.@en,,https://isotc211.geolexica.org/api/geolexica#Note,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#tbxisoxmlURI,geolexica:tbxisoxmlURI property,For relating tbxisoxmlURI values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#skosrdfURI,geolexica:skosrdfURI property,For relating skosrdfURI values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://isotc211.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#jsonldURI,geolexica:jsonldURI property,For relating jsonldURI values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://isotc211.geolexica.org/api/geolexica#JSON-LD,,,,,,,,,,,,
http://purl.org/dc/terms/identifier,dcterms:identifier property,,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#integer,http://www.w3.org/2004/02/skos/core#Concept,,Use for termIDs.,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#LangCode,Language Code,"ISO 639-1 two-letter language codes, three letter codes, and labels.@en",,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
http://www.w3.org/2001/XMLSchema#date,,,,,http://www.w3.org/2000/01/rdf-schema#Datatype,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#notes,geolexica:notes property,For relating concept translation note values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
http://purl.org/dc/terms/MediaType,,Use of MediaType in this case is for classifying linked data file types.@en,,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#JSON-LD,JSON-LD files,Class for JSON-LD file types.@en,https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#RDF-XML,,,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#date_amended,geolexica:date_amended property,For relating date amended info values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#date,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#Note,"Notes for Definitions, Examples, Availability","Notes attributed to term defintions, examples, and availability.@en",,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#ConceptInfo,Concept Info,"Information for each concept: authoritative source, clause, classification, date amended, date accepted, and entry status.@en",,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#rdfxmlURI,geolexica:rdfxmlURI property,For relating rdfxmlURI values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,https://isotc211.geolexica.org/api/geolexica#RDF-XML,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#termID,Term ID,For relating term ID values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#anyURI,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#abbreviation,geolexica:abbreviation property,For relating term abbreviations in different languages.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_decision_event,geolexica:review_decision_event property,For relating review decision event values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasSource,geolexica:hasSource,For relating concept to source.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#Source,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
http://purl.org/dc/terms/modified,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#release,geolexica:release property,For relating concept release values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#clause,geolexica:clause property,For relating term info clauses.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#,,,,,http://www.w3.org/2002/07/owl#Ontology,,,,,http://www.w3.org/2004/02/skos/core,https://isotc211.geolexica.org/api/geolexica#,Copyright 2022 OSGeo,2022-01-12^^http://www.w3.org/2001/XMLSchema#date,https://www.osgeo.org/,2022-03-31@en,Version 1.0,OSGeo Geolexica Ontology@en,geolexica,https://isotc211.geolexica.org/api/geolexica/v1.0/
http://purl.org/vocab/vann/preferredNamespacePrefix,,,,,http://www.w3.org/2002/07/owl#AnnotationProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_status,geolexica:review_status property,For relating review status values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasOrigin,geolexica:hasOrigin,For relating concept to origin.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#Origin,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_decision_date,geolexica:review_decision_date property,For relating review decision date values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,http://www.w3.org/2001/XMLSchema#date,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasLangCode,geolexica:hasLangCode,For relating concept to language code.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#LangCode,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#lineage_source,geolexica:lineage_source property,For relating lineage source info values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#JSON,JSON files,Class for JSON file types.@en,https://isotc211.geolexica.org/api/geolexica#TBX-ISO-XML,https://isotc211.geolexica.org/api/geolexica#LinkedDataAPI,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#RDF-XML,,,,,,,,,,,,,,,,
,,,https://isotc211.geolexica.org/api/geolexica#JSON-LD,,,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#MLGTGlossary,,,,,http://www.w3.org/2004/02/skos/core#Collection,,,,,,,,,,,,,,
,,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#DefnUnavail,Definition Unavailable in Language,Class for noting missing definitions.@en,,https://isotc211.geolexica.org/api/geolexica#Note,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#hasReview,geolexica:hasReview,For relating concept to review.,,,http://www.w3.org/2002/07/owl#ObjectProperty,https://isotc211.geolexica.org/api/geolexica#ConceptReview,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#review_indicator,geolexica:review_indicator property,For relating review indicator values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#Origin,Origin of Language Registry,Class for referencing language registries.@en,,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#entry_status,geolexica:entry_status property,For relating entry status info values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#examples,geolexica:examples property,For relating concept example values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
https://isotc211.geolexica.org/api/geolexica#lineage_source_similarity,geolexica:lineage_source_similarity property,For relating lineage source similarity info values.,,,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,
http://www.w3.org/2001/XMLSchema#string,,,,,http://www.w3.org/2000/01/rdf-schema#Datatype,,,,,,,,,,,,,,
