label,note
3-D Elevation Program,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
3D Information Management Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
3D Portrayal Interoperability Experiment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
ADL Gazetteer Content Standard,Note to entry: Other attributes such as the region where the toponym is located or the defined datum can also be supplied.
Abstract Specification,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Ambient Geographic Information,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
American Geographical Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
American Geophysical Union,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
American National Standards Institute,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
American Society for Photogrammetry and Remote Sensing,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
American Standard Code for Information Interchange,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Architecture Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
"Architecture, Engineering, Construction, Owner and Operator",https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Association of American Geographers,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Association of Geographic Information Laboratories in Europe,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Augmented Reality Markup Language,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Australian Urban Research Infrastructure Network,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Authentication Interoperability Experiment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Automated Mapping/Facilities Management,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Best Practice,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Biotechnology and Biological Sciences Research Council,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Bit Map Picture,"Note to entry:  BMP is simple and pretty normalized; it is a excellent format for sharing data and fast when analyzing and processing images. However, since it is not compressed it does not improve the transmission and disk accessing times. BMP is often used with RGB 24 bits."
Building Information Modelling,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
CEOS Working Group on Capacity Building and Data Democracy,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
CNIDR z39.50 Server,Note to entry:  Also known as zDist.
Canadian Geospatial Data Infrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Canadian Space Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Cartograhy and Geographic Information Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
CatMDEdit,Note to entry:  It is a multiplatform (Windows / UNIX) and multilingual (Spanish and English) application.
Census Research Centre,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Center of Excellence for Geospatial Information Science,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Collaboratively Contributed Geographic Information,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Committee on Earth Observation Satellites,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Compliance Test Language,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Comprehensive African Agricultural Development Programme,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Compute Unified Device Architecture,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Computer-aided design and drafting,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Consortium of Universities for the Advancement of Hydrologic Science,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Content Standard for Digital Geospatial Metadata,Note to entry:  Does not dictate how to organize the data in a computer nor which software to use.
Coordinate Reference System,Note 1 to entry:  Geodetic and vertical datums are referred to as reference frames.
Coordinate Reference System,"Note 2 to entry:  For geodetic and vertical reference frames, the object will be the Earth. In planetary applications, geodetic and vertical reference frames may be applied to other celestial bodies."
Coordinate geometry,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Create Read Update and Delete.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
CyberInfrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Data Access Object,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Data Quality Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Decision Support Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Defense and Intelligence Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Elevation Model,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Geographic Exchange Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Landscape Model,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Line Graph,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Surface Models,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Digital Terrain Model,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Discussion Paper,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Distributed Computing Environment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Distributed Computing Platform,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Dublin Core,Note to entry: Dublin Core provides a simple and standardised set of conventions for describing things online in ways that make them easier to find.
EPSG code,Note to entry:  EPSG codes are published by the Oil and Gas Producers (OGP) Surveying and Positioning Committee. OGC WMS protocol uses EPSG codes to describe coordinate systems.
Earth Observation,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Earth Observation Science,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Earth Observation and Environmental Modelling for the Mitigation of Health Risks,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Earth System Science Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Emergency & Disaster Management Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Enterprise Architecture,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Enterprise Architecture Special Interest Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Enterprise Java Beans.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Environmental Protection Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Center for Medium range Weather Forecasting,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Committee for Electrotechnical Standardization (Comité Européen de Normalisation Électrotechnique),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Committee for Standardization (Comite Europeen de Normalisation),Note to entry: Replaces country-specific techniques by common rules for the whole Union in collaboration with international organizations and its members in Europe
European Environment Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Space Agency,Note to entry: See http://www.esa.int
European Space Education Resource Office,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Spatial Data Information Infrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Spatial Data Research,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
European Umbrella Organisation for Geographic Information,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Extreme Science and Engineering Discovery Environment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Federal Geographic Data Committee,Note to entry: See http://www.fgdc.gov
Free and Open Source Software,"Note to entry: Also F/OSS, FOSS, or FLOSS (free/libre/open source software). See http://en.wikipedia.org/wiki/FOSS"
GNU General Public License,Note to entry: GeoNetwork opensource is released under the GPL 2 license.
GPC Global Information Solutions,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
GRIB,"Note to entry: Abbreviated from the words ""GRIdded Binary""."
GeoJSON,Note to entry: GeoJSON is commonly used in spatial applications.
GeoNetwork,Note to entry: Available from: http://geonetwork-opensource.org
GeoSPARQL SWG,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
GeoServer ImageMosaic,Note to entry: See also Data Store and Mosaic.
GeoServices REST (REpresentational State Transfer) Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Geographic Linkage Service 1.0 Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Geometry Engine Open Source,Note to entry: Can be used for applications such as determining if a polygon is contained in another polygon or determining the resultant intersection of two or more polygons.
Geoprocessing networks in a European Territorial Interoperability Study,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Geospatial Data Abstraction Library,Note to entry: Pronounced “GOO-duhl”. Used widely in both open source and proprietary software.
Geospatial Information & Technology Association,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Geospatial Objects,Note to entry:  Retired OGC standard.
Geospatial Rights Management Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Earth Observation System of Systems Pilot Project,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Flood Awareness System,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Navigational Satellite System,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Open Data for Agriculture and Nutrition,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Spatial Data Infrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Spatial Data infrastructure Association,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Global Spatial Data infrastructure Association,Note to entry: GSDI was dissolved as a legal entity in October 2018.
Google Summer of Code,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Graphic Interchange Format,Note to entry: The GIF format is generally recommended for simple images and limited to a maximum of 256 colours.
Ground Control Point,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Group on Earth Observations,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Hibernate Query Language.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Hierarchical Data Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
High Level Political Forum (of UN),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Human Technology Interface,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Humanitarian OpenStreetMap Team,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IEEE Geoscience and Remote Sensing Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IEEE Geoscience and Remote Sensing Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Implementation Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IndoorGML,Note to entry: Standardized by the OGC IndoorGML Standards Working Group.
Information Communities and Semantics,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Infrastructure for Spatial Information in Europe,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Integrated Justice Information Systems (IJIS) Institute,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Intellectual Property,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Intellectual Property Rights,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Cartographic Association,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Council for Science â€“ World Data System,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Hydrographic Office,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Modeling & Software Society Secretariat,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Organization for Standardization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Organization for Standardization,Note to entry: See http://www.iso.org
International Society for Photogrammetry and Remote Sensing,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Telecommunication Union,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Internet Engineering Task Force,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Internet Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Experiment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Program,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Program Team,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Japan Aerospace Exploration Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Java Advanced Imaging,"Note to entry: JAI allows developers to create their own image manipulation routines without the additional cost or licensing restrictions, associated with commercial image processing software."
Java Database Connectivity,"Note to entry: JDBC supports SQL databases and other tabular data sources, such as spreadsheets or flat files."
Java Messaging Service.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Advisory Committee between OGC and ISO TC 211,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Photographics Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Photographics Group,Note to entry: Additionally a reference to a common image compression method
Keyhole Markup Language,"Note to entry: The name originates from the company which developed the technology, originally named “Keyhole”."
Law Enforcement and Public Safety Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Level Of Detail,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Light Detection and Ranging,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Local Organizing Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Location Organizer Folder,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Location Services Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Media and Information Literacy,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Memorandum of Understanding,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mercator,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mobile Location Services Domian Working Group - merger of Mass Market and Location Services DWGs,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mortgage Information Standards Maintenance Organization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
NEw Partnership for African Development,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Center for Atmospheric Research,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Center for Supercomputing Applications,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Elevation Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Geospatial Intelligence Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Hydrologic Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Institute for Building Standards,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Institute of Standards and Technology,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Land Cover Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Mapping Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Science Foundation,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Spatial Data Infrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Natural Resources and Environment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Net Centric Operations Infrastructure Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Neutral Transfer Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Neutral Transfer Format,Note to entry:  Within the UK
Non-Governmental Organization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
North American Datum,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Architecture Board,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Australasia,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalog Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalog Revision Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalogue Service Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC City Geography Markup Language (CityGML) Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Coordinate Transformation Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
